Change Component Description : Designator=C12 Old Description=CAP 1uF 16V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 1uF 16V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C16 Old Description=CAP 1uF 16V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 1uF 16V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C24 Old Description=CAP 1uF 16V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 1uF 16V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C2 Old Description=CAP 10nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 10nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C10 Old Description=CAP 10uF 16V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 10uF 16V °¿10% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C11 Old Description=CAP 10uF 16V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 10uF 16V °¿10% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C13 Old Description=CAP 18pF 16V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 18pF 16V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C14 Old Description=CAP 18pF 16V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 18pF 16V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C17 Old Description=CAP 22uF 10V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 22uF 10V °¿20% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C18 Old Description=CAP 22uF 10V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 22uF 10V °¿20% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C19 Old Description=CAP 22uF 10V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 22uF 10V °¿20% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C20 Old Description=CAP 22uF 10V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 22uF 10V °¿20% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C21 Old Description=CAP 22uF 10V ?0% 0805 (2012 Metric) Thickness 1.45mm SMD New Description=CAP 22uF 10V °¿20% 0805 (2012 Metric) Thickness 1.45mm SMD
Change Component Description : Designator=C5 Old Description=CAP 47pF 16V ?.5pF 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 47pF 16V °¿0.5pF 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C6 Old Description=CAP 47pF 16V ?.5pF 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 47pF 16V °¿0.5pF 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C27 Old Description=CAP 100nF 6.3V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 6.3V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C28 Old Description=CAP 100nF 6.3V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 6.3V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C29 Old Description=CAP 100nF 6.3V ?% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 6.3V °¿5% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C1 Old Description=CAP 100nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C3 Old Description=CAP 100nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C7 Old Description=CAP 100nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C15 Old Description=CAP 100nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C22 Old Description=CAP 100nF 16V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 100nF 16V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=C23 Old Description=CAP 820pF 10V ?0% 0603 (1608 Metric) Thickness 1mm SMD New Description=CAP 820pF 10V °¿10% 0603 (1608 Metric) Thickness 1mm SMD
Change Component Description : Designator=L2 Old Description=SMD Flat Wire High Current Inductor WE-HCI, L=1.00 µH New Description=SMD Flat Wire High Current Inductor WE-HCI, L=1.00 ¶ÃH
Change component parameters: Designator = "J1" ("J1"); Footprint = "HIRO-ZX62R-B-5P_V"; UniqueID = "\YKKZDFBE" ("\YKKZDFBE")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.hirose.com/aÄ?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.hirose.co.jp/cataloge_hp/e24200011.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "08/2010"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-30 to 85 degC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "5-Pin USB Micro-B R/A Connector"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "ZX62R-B-5P"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "ZX62R-B-5P"; VariantName = "[No Variations]"
Change component parameters: Designator = "L2" ("L2"); Footprint = "WE-HCI-7040"; UniqueID = "\POOAIPVP\WUHAJHSI" ("\POOAIPVP\WUHAJHSI")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.we-online.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.we-online.de/katalog/media/pdf/744311100.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DatasheetVersion"; Value = "ver 1, Feb-2008"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Inductance"; Value = "1.00 ?¶ÃH"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageDescription"; Value = "SMD Inductor, 2-Leads, Body 7.0 x 6.9 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageReference"; Value = "WE-HCI-7040"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PackageVersion"; Value = "2008"; VariantName = "[No Variations]"
Change component parameters: Designator = "U4" ("U4"); Footprint = "SAMW25H18-MR510PB"; UniqueID = "\KABPZABH\BXZYLFJA" ("\KABPZABH\BXZYLFJA")
Change component parameters (AddParameter): Name = "Antenna Type"; Value = "Integrated, Trace"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "RF/IF and RFID"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.atmel.com/devices/ATSAMW25.aspx"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.atmel.com/devices/ATSAMW25.aspx"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "http://www.farnell.com/datasheets/1965115.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.farnell.com/datasheets/1965115.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Receiving"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current - Transmitting"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Data Rate"; Value = "65Mbps"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "RF Transceiver Modules"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency"; Value = "2.4GHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Atmel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "ATSAMW25H18-MR510PB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Memory Size"; Value = "256kB Flash, 32kB SRAM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Modulation"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40°„C ~ 85°„C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "Module"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tray"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power - Output"; Value = "17dBm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=19.14 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Protocol"; Value = "802.11b/g/n"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RF Family/Standard"; Value = "WiFi"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sensitivity"; Value = "-95.5dBm"; VariantName = "[No Variations]"
